Fever,Tiredness,Dry-Cough,Difficulty-in-Breathing,Sore-Throat,None_Sympton,Pains,Nasal-Congestion,Runny-Nose,Diarrhea,None_Experiencing,Age_0-9,Age_10-19,Age_20-24,Age_25-59,Age_60+,Gender_Female,Gender_Male,Gender_Transgender,Severity_Mild,Severity_Moderate,Severity_None,Severity_Severe,Contact_Dont-Know,Contact_No,Contact_Yes,Symptoms_Score,Condition,Result
1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0.9999999999999998,0.0,0.0,0.0,0,0,1,1.0,0.22662658842006705,0
1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0.9999999999999998,0.0,0.0,0.0,0,1,0,1.0,0.005232429550718191,0
1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0.9999999999999998,0.0,0.0,0.0,1,0,0,1.0,0.005232429550718191,0
1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,0,1,1.0,0.23292104575088152,0
1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,1,0,1.0,0.011526886881532649,0
1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,1,0,0,1.0,0.011526886881532649,0
1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0,0,1,1.0,0.9999999999999999,1
1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0,1,0,1.0,0.778605841130651,1
1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1,0,0,1.0,0.778605841130651,1
1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0,0,1,1.0,0.22645522934110218,0
1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0,1,0,1.0,0.005061070471753315,0
1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,1,0,0,1.0,0.005061070471753315,0
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0.9999999999999998,0.0,0.0,0.0,0,0,1,0.8888888888888888,0.22604520735887615,0
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0.9999999999999998,0.0,0.0,0.0,0,1,0,0.8888888888888888,0.004651048489527281,0
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0.9999999999999998,0.0,0.0,0.0,1,0,0,0.8888888888888888,0.004651048489527281,0
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,0,1,0.8888888888888888,0.2316402805418223,0
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,1,0,0.8888888888888888,0.010246121672473466,0
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,1,0,0,0.8888888888888888,0.010246121672473466,0
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0,0,1,0.8888888888888888,0.9134882398743719,1
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0,1,0,0.8888888888888888,0.6920940810050231,1
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1,0,0,0.8888888888888888,0.6920940810050231,1
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0,0,1,0.8888888888888888,0.22589288817757402,0
